country_name,country_code,indicator_name,indicator_code,value,year
Chad,TCD,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,49.954,1982
Chad,TCD,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,22.734,1972
Chad,TCD,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,60.92305756,2016
Chad,TCD,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,26.50126266,2014
Chad,TCD,External health expenditure channeled through government (% of external health expenditure),SH.XPD.EHEX.EH.ZS,5.701400229,2004
Chad,TCD,External health expenditure channeled through government (% of external health expenditure),SH.XPD.EHEX.EH.ZS,19.48895394,2012
Chad,TCD,"Human capital index (HCI), female (scale 0-1)",HD.HCI.OVRL.FE,0.290844679,2018
Chad,TCD,"Human capital index (HCI), female, upper bound (scale 0-1)",HD.HCI.OVRL.UB.FE,0.303,2017
Chad,TCD,"Human capital index (HCI), male (scale 0-1)",HD.HCI.OVRL.MA,0.306944877,2018
Chad,TCD,"Incidence of HIV, ages 50+ (per 1,000 uninfected population ages 50+)",SH.HIV.INCD.50.P3,0.71,1995
Chad,TCD,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,40.626,1963
Chad,TCD,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,40.965,1965
Chad,TCD,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,55.132,2017
Chad,TCD,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,42.824,1977
Chad,TCD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,39.665,1966
Chad,TCD,Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,7.038785321,2016
Chad,TCD,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,39.3682518,2004
Chad,TCD,"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",SH.STA.POIS.P5.MA,5.1,2013
Chad,TCD,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,115.5,1987
Chad,TCD,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,107.1,1987
Chad,TCD,"Mortality rate, infant, male (per 1,000 live births)",SP.DYN.IMRT.MA.IN,122.2,1988
Chad,TCD,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,215.1,1989
Chad,TCD,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,171.6,2004
Chad,TCD,"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,0.2525,2015
Chad,TCD,"People practicing open defecation, urban (% of urban population)",SH.STA.ODFC.UR.ZS,16.838738,2013
Chad,TCD,"People using at least basic drinking water services, rural (% of rural population)",SH.H2O.BASW.RU.ZS,30.75381717,2008
Chad,TCD,"People using at least basic sanitation services, rural (% of rural population)",SH.STA.BASS.RU.ZS,3.256950879,2013
Chad,TCD,"People with basic handwashing facilities including soap and water, rural (% of rural population)",SH.STA.HYGN.RU.ZS,2.307580659,2016
Chad,TCD,"Population ages 00-04, female (% of female population)",SP.POP.0004.FE.5Y,20.03034341,2001
Chad,TCD,"Population ages 00-04, female (% of female population)",SP.POP.0004.FE.5Y,19.85320053,2006
Chad,TCD,"Population ages 00-04, female (% of female population)",SP.POP.0004.FE.5Y,19.44388214,2009
Chad,TCD,"Population ages 00-04, male (% of male population)",SP.POP.0004.MA.5Y,20.15428744,1991
Chad,TCD,"Population ages 00-04, male (% of male population)",SP.POP.0004.MA.5Y,20.42669629,2000
Chad,TCD,"Population ages 00-04, male (% of male population)",SP.POP.0004.MA.5Y,20.04318668,2007
Chad,TCD,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,44.841292,1979
Chad,TCD,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,48.06643041,1993
Chad,TCD,"Population ages 0-14, female (% of female population)",SP.POP.0014.FE.ZS,48.37780612,2000
