indicator_name,Ind_flg
"Birth rate, crude (per 1,000 people)",
"Death rate, crude (per 1,000 people)",1
Domestic private health expenditure (% of current health expenditure),1
Domestic private health expenditure per capita (current US$),1
External health expenditure channeled through government (% of external health expenditure),1
"Human capital index (HCI), female (scale 0-1)",
"Human capital index (HCI), female, upper bound (scale 0-1)",
"Human capital index (HCI), male (scale 0-1)",
"Incidence of HIV, ages 50+ (per 1,000 uninfected population ages 50+)",
"Life expectancy at birth, female (years)",1
"Life expectancy at birth, male (years)",1
"Life expectancy at birth, total (years)",1
Lifetime risk of maternal death (%),
"Literacy rate, adult male (% of males ages 15 and above)",
"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",1
"Mortality rate, infant (per 1,000 live births)",
"Mortality rate, infant, female (per 1,000 live births)",
"Mortality rate, infant, male (per 1,000 live births)",
"Mortality rate, under-5 (per 1,000)",
"Nurses and midwives (per 1,000 people)",
"People practicing open defecation, urban (% of urban population)",
"People using at least basic drinking water services, rural (% of rural population)",
"People using at least basic sanitation services, rural (% of rural population)",1
"People with basic handwashing facilities including soap and water, rural (% of rural population)",1
"Population ages 00-04, female (% of female population)",
"Population ages 00-04, male (% of male population)",
Population ages 0-14 (% of total population),
"Population ages 0-14, female (% of female population)",
"Population ages 0-14, male (% of male population)",
"Population ages 15-19, female (% of female population)",
"Population ages 15-19, male (% of male population)",
Population ages 15-64 (% of total population),
"Population ages 20-24, female (% of female population)",
"Population ages 20-24, male (% of male population)",
"Population ages 25-29, male (% of male population)",
"Population ages 30-34, female (% of female population)",
"Population ages 30-34, male (% of male population)",
"Population ages 35-39, male (% of male population)",
"Population ages 40-44, female (% of female population)",
"Population ages 40-44, male (% of male population)",
"Population ages 45-49, female (% of female population)",
"Population ages 50-54, female (% of female population)",
"Population ages 50-54, male (% of male population)",
"Population ages 55-59, female (% of female population)",
"Population ages 55-59, male (% of male population)",
"Population ages 60-64, female (% of female population)",
"Population ages 60-64, male (% of male population)",
"Population ages 65 and above, male (% of male population)",
"Population ages 65-69, female (% of female population)",
"Population ages 65-69, male (% of male population)",
"Population ages 70-74, female (% of female population)",
"Population ages 70-74, male (% of male population)",
"Population ages 75-79, female (% of female population)",
"Population ages 80 and older, female (% of female population)",
Population growth (annual %),
"Population, female (% of total population)",1
"Population, male (% of total population)",1
Prevalence of anemia among women of reproductive age (% of women ages 15-49),
"Prevalence of HIV, female (% ages 15-24)",
"Prevalence of HIV, male (% ages 15-24)",
"Prevalence of overweight, female (% of female adults)",
"Prevalence of stunting, height for age (% of children under 5)",
